"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-4.37247,1,340.97,10.22,10.22
-4.36883,1,318.38,2.2,2.2
-4.36738,1,301.12,1.38,1.38
-4.36688,1,308.39,1.08,1.08
-4.36486,1,335.35,6,6
-4.3646,1,341.22,5.92,5.92
-4.36183,1,350.52,11.92,11.92
-4.3596,1,334.13,3.67,3.67
-4.35707,1,330.03,5.95,5.95
-4.35276,1,305.73,1.37,1.37
-4.35243,1,330.23,5.22,5.22
-4.35137,1,332.01,10.38,10.38
-4.35101,1,340.85,21.28,21.28
-4.35079,1,302.98,0.57,0.57
-4.35027,1,330.92,4.6,4.6
-4.34768,1,333.76,5.22,5.22
-4.34725,1,335.43,5.37,5.37
-4.34598,1,340.59,6.31,6.31
-4.3456,1,326.66,3.75,3.75
-4.34481,1,301.3,1.16,1.16
-4.34383,1,339.15,7.95,7.95
-4.34279,1,301.61,2.03,2.03
-4.34207,1,329.78,8.19,8.19
-4.33791,1,305.17,1.41,1.41
-4.33456,1,303.47,1.14,1.14
-4.3316,1,339.68,9.52,9.52
-4.32741,1,301.85,0.95,0.95
-4.32676,1,316.01,3.82,3.82
-4.32411,1,330.65,1.8,1.8
-4.32328,1,350.08,29.62,29.62
-4.3225,1,338.6,6.74,6.74
-4.32197,1,331.44,5.84,5.84
-4.3218,1,331.75,10.29,10.29
-4.3208,1,329.98,2.33,2.33
-4.3202,1,306.91,0.79,0.79
-4.31769,1,329.28,9.19,9.19
-4.31352,1,327.24,0.91,0.91
-4.31311,1,304.34,0.71,0.71
-4.31224,1,305.37,0.66,0.66
-4.30991,1,346.53,6.81,6.81
-4.30718,1,330.03,2.65,2.65
-4.30584,1,332.88,3.01,3.01
-4.30533,1,311.91,1.6,1.6
-4.3053,1,341.26,5.25,5.25
-4.30504,1,331.02,4.86,4.86
-4.30469,1,313.12,2.02,2.02
-4.30456,1,325.12,2.21,2.21
-4.30425,1,329.33,1.42,1.42
-4.30178,1,307.11,2.18,2.18
-4.29806,1,306.18,0.69,0.69
-4.29734,1,337.29,8.05,8.05
-4.29453,1,332.34,3.3,3.3
-4.29104,1,332.23,3.26,3.26
-4.28902,1,331.92,1.98,1.98
-4.28614,1,308.78,0.79,0.79
-4.28371,1,333.77,2.15,2.15
-4.28288,1,341.03,14.54,14.54
-4.28265,1,304.75,1.3,1.3
-4.28221,1,327.87,2.22,2.22
-4.28195,1,307.1,0.97,0.97
-4.28143,1,304.9,0.57,0.57
-4.27721,1,330.49,3.73,3.73
-4.27667,1,305.06,1.01,1.01
-4.26894,1,331.56,4.19,4.19
-4.26849,1,336.32,22.27,22.27
-4.26734,1,342.95,4.34,4.34
-4.2637,1,347.35,8.19,8.19
-4.25777,1,335.32,26.46,26.46
-4.25573,1,304.66,0.95,0.95
-4.25501,1,339.86,4.71,4.71
-4.25162,1,332.94,7.98,7.98
-4.24837,1,341.97,6.37,6.37
-4.24184,1,329.04,1.93,1.93
-4.24091,1,367,11.48,11.48
-4.24048,1,330.47,1.6,1.6
-4.23834,1,355.34,43.5,43.5
-4.23781,1,302.09,2.15,2.15
-4.23429,1,330.43,5.14,5.14
-4.23402,1,339.67,12.45,12.45
-4.23382,1,344.44,43.5,43.5
-4.23296,1,367,89.31,89.31
-4.22571,1,367,6.31,6.31
-4.22522,1,329.25,5.03,5.03
-4.22283,1,302.89,0.57,0.57
-4.21989,1,342.15,7.13,7.13
-4.20603,1,339.72,20.43,20.43
-4.20455,1,334.02,4.92,4.92
-4.20355,1,307.09,1.14,1.14
-4.20352,1,347.87,17.65,17.65
-4.20281,1,341.84,15.42,15.42
-4.20268,1,334.65,4.84,4.84
